i	103	x	150	y	150	z	150	n	259	
i	104	x	150	y	150	z	150	n	259	
i	105	x	150	y	150	z	150	n	259	
i	106	x	150	y	150	z	150	n	259	
i	107	x	150	y	150	z	150	n	259	
i	108	x	150	y	150	z	150	n	259	
i	109	x	150	y	150	z	150	n	259	
i	110	x	150	y	150	z	150	n	259	
i	111	x	150	y	150	z	150	n	259	
i	112	x	150	y	150	z	150	n	259	
i	113	x	150	y	150	z	150	n	259	
i	114	x	150	y	150	z	150	n	259	
i	115	x	150	y	150	z	150	n	259	
i	116	x	150	y	150	z	150	n	259	
i	117	x	150	y	150	z	150	n	259	
i	118	x	96	y	246	z	152	n	304	
i	119	x	96	y	246	z	154	n	305	
i	120	x	88	y	248	z	152	n	303	
i	121	x	86	y	250	z	156	n	306	
i	122	x	88	y	246	z	158	n	305	
i	123	x	94	y	242	z	150	n	299	
i	124	x	90	y	236	z	152	n	294	
i	125	x	84	y	232	z	156	n	291	
i	126	x	74	y	236	z	156	n	292	
i	127	x	76	y	234	z	156	n	291	
i	128	x	62	y	232	z	146	n	281	
i	129	x	56	y	236	z	146	n	283	
i	130	x	48	y	228	z	142	n	272	
i	131	x	44	y	232	z	140	n	274	
i	132	x	56	y	230	z	134	n	272	
i	133	x	60	y	234	z	134	n	276	
i	134	x	66	y	236	z	134	n	279	
i	135	x	74	y	236	z	136	n	282	
i	136	x	80	y	238	z	132	n	283	
i	137	x	78	y	242	z	130	n	285	
i	138	x	82	y	242	z	130	n	286	
i	139	x	86	y	238	z	128	n	283	
i	140	x	86	y	238	z	128	n	283	
i	141	x	90	y	238	z	130	n	285	
i	142	x	90	y	240	z	128	n	286	
i	143	x	94	y	240	z	126	n	286	
i	144	x	96	y	238	z	126	n	285	
i	145	x	88	y	242	z	128	n	287	
i	146	x	90	y	246	z	132	n	293	
i	147	x	102	y	250	z	132	n	300	
i	148	x	96	y	258	z	134	n	306	
i	149	x	96	y	256	z	140	n	307	
i	150	x	102	y	250	z	138	n	303	
i	151	x	104	y	252	z	136	n	304	
i	152	x	104	y	254	z	140	n	308	
i	153	x	106	y	252	z	138	n	306	
